plant name,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Solanum nigrum,O[C@@H]1CC2=CC[C@@H]3[C@@H]([C@]2(CC1)C)CC[C@]1([C@H]3C[C@H]2[C@@H]1[C@@H]([C@@]1(O2)NC[C@@H](CC1)C)C)C,C[C@@H]1CC[C@@]2(NC1)O[C@@H]1[C@H]([C@@H]2C)[C@@]2([C@@H](C1)[C@@H]1CC=C3[C@]([C@H]1CC2)(C)CC[C@@H](C3)O)C,C27H43NO2,413.64,30,0,0.93,0,3,2,127.23,41.49,4.26,5.39,4.91,4.94,3.97,4.69,-5.8,6.55E-04,1.58E-06,Moderately soluble,-6.02,3.99E-04,9.65E-07,Poorly soluble,-4.8,6.50E-03,1.57E-05,Moderately soluble,High,Yes,Yes,No,No,No,No,No,-5,1,1,0,0,1,0.55,0,1,2,6.56
Solanum nigrum,C1[C@@H](C[C@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@@H]1[C@H](C2)O[C@]2([C@H]1C)OC[C@@H](CC2)C)C)C)O,C[C@@H]1CC[C@@]2(OC1)O[C@@H]1[C@H]([C@@H]2C)[C@@]2([C@@H](C1)[C@@H]1CC[C@@H]3[C@]([C@H]1CC2)(C)CC[C@@H](C3)O)C,C27H44O3,416.64,30,0,1,0,3,1,122.07,38.69,4.53,6.49,5.79,5.08,4.3,5.24,-6.51,1.28E-04,3.08E-07,Poorly soluble,-7.1,3.32E-05,7.97E-08,Poorly soluble,-4.51,1.29E-02,3.10E-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-4.23,1,2,0,0,1,0.55,0,0,2,6.88
Solanum nigrum,c1(cc(c2c(c1)oc(c(c2=O)O[C@H]1[C@H]([C@@H]([C@H]([C@@H](O1)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O)c1ccc(c(c1)O)O)O)O,OC[C@H]1O[C@@H](OC[C@@H]2O[C@@H](Oc3c(oc4c(c3=O)c(O)cc(c4)O)c3ccc(c(c3)O)O)[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,C27H30O17,626.52,44,16,0.44,7,17,11,142.54,289.66,1.34,-0.83,-2.71,-4.62,-2.7,-1.91,-3.01,6.14E-01,9.80E-04,Soluble,-4.77,1.06E-02,1.69E-05,Moderately soluble,0.29,1.22E+03,1.95E+00,Soluble,Low,No,Yes,No,No,No,No,No,-10.71,3,4,1,1,4,0.17,1,1,1,6.56
Solanum nigrum,c1(cc(c2c(c1)oc(c(c2=O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)CO)O)O)O[C@@H]1O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)C)c1ccc(c(c1)O)O)O)O,OC[C@@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)[C@@H]([C@@H]([C@H]1O)O)O[C@@H]1O[C@H](C)[C@@H]([C@H]([C@@H]1O)O)O,C27H30O16,610.52,43,16,0.44,6,16,10,141.38,269.43,1.75,-0.73,-1.69,-3.89,-2.11,-1.33,-3.04,5.51E-01,9.02E-04,Soluble,-4.45,2.16E-02,3.53E-05,Moderately soluble,-0.29,3.15E+02,5.15E-01,Soluble,Low,No,Yes,No,No,No,No,No,-10.54,3,4,1,1,4,0.17,1,1,1,6.53
Terminalia chebula,Termilignan,COc1ccc(c(c1)O)CC(=C)C(=C)Cc1ccc(cc1)O,C19H20O3,296.36,22,12,0.16,6,3,2,89.52,49.69,2.83,5.47,4,3.4,4.48,4.04,-5.13,2.19E-03,7.39E-06,Moderately soluble,-6.27,1.59E-04,5.36E-07,Poorly soluble,-5.58,7.71E-04,2.60E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-4.22,0,0,0,0,1,0.55,0,1,1,2.53
Terminalia chebula,Pyrocatechin,Oc1ccccc1O,C6H6O2,110.11,8,6,0,0,2,2,30.49,40.46,1.13,0.88,1.1,0.79,0.94,0.97,-1.63,2.57E+00,2.33E-02,Very soluble,-1.31,5.34E+00,4.85E-02,Very soluble,-1.18,7.21E+00,6.55E-02,Soluble,High,Yes,No,No,No,No,No,Yes,-6.35,0,3,0,0,1,0.55,1,1,1,1
Terminalia chebula,Gallic acid,OC(=O)c1cc(O)c(c(c1)O)O,C7H6O5,170.12,12,6,0,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,-0.2,0.21,-1.64,3.90E+00,2.29E-02,Very soluble,-2.34,7.86E-01,4.62E-03,Soluble,-0.04,1.55E+02,9.10E-01,Soluble,High,No,No,No,No,No,No,Yes,-6.84,0,2,0,0,1,0.56,1,1,1,1.22
Terminalia chebula,Ellagic acid,Oc1cc2c(=O)oc3c4c2c(c1O)oc(=O)c4cc(c3O)O,C14H6O8,302.19,22,16,0,0,8,4,75.31,141.34,0.79,1.1,1.31,0.14,1.67,1,-2.94,3.43E-01,1.14E-03,Soluble,-3.66,6.60E-02,2.18E-04,Soluble,-3.35,1.36E-01,4.49E-04,Soluble,High,No,No,Yes,No,No,No,No,-7.36,0,0,1,1,0,0.55,1,3,0,3.17
Terminalia chebula,Ethyl gallate,O[C@@H]1[C@@H](O)C[C@](C[C@@H]1O)(O)C(=O)O,C7H12O6,192.17,13,0,0.86,1,6,5,40.11,118.22,0.48,-2.37,-2.32,-2.14,-1.82,-1.63,0.53,6.48E+02,3.37E+00,Highly soluble,0.43,5.12E+02,2.66E+00,Highly soluble,2.08,2.30E+04,1.20E+02,Soluble,Low,No,No,No,No,No,No,No,-9.15,0,1,0,0,2,0.56,0,0,1,3.34
Terminalia chebula,Quinic acid,O[C@@H]1[C@@H](O)C[C@](C[C@@H]1O)(O)C(=O)O,C7H12O6,192.17,13,0,0.86,1,6,5,40.11,118.22,0.48,-2.37,-2.32,-2.14,-1.82,-1.63,0.53,6.48E+02,3.37E+00,Highly soluble,0.43,5.12E+02,2.66E+00,Highly soluble,2.08,2.30E+04,1.20E+02,Soluble,Low,No,No,No,No,No,No,No,-9.15,0,1,0,0,2,0.56,0,0,1,3.34
Tinospora cordifolia,Dopamine,NCCc1ccc(c(c1)O)O,C8H11NO2,153.18,11,6,0.25,2,3,3,42.97,66.48,1.27,-0.98,0.6,0.6,0.8,0.46,-0.44,5.51E+01,3.60E-01,Very soluble,0.07,1.80E+02,1.17E+00,Highly soluble,-1.68,3.19E+00,2.08E-02,Soluble,High,No,No,No,No,No,No,No,-7.93,0,1,0,0,1,0.55,1,1,1,1.01
Tinospora cordifolia,Tyramine,NCCc1ccc(cc1)O,C8H11NO,137.18,10,6,0.25,2,2,2,40.95,46.25,1.36,1.1,0.89,1.21,1.28,1.17,-1.7,2.77E+00,2.02E-02,Very soluble,-1.66,2.97E+00,2.17E-02,Very soluble,-2.24,7.84E-01,5.71E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.36,0,1,0,0,1,0.55,0,0,1,1
Tinospora cordifolia,Magnoflorine,COc1ccc2c(c1O)c1c(O)c(OC)cc3c1[C@H](C2)[N+](C)(C)CC3,C20H24NO4,342.41,25,12,0.4,2,4,2,101.87,58.92,-0.66,2.74,2.31,-1.71,3.01,1.14,-3.91,4.19E-02,1.22E-04,Soluble,-3.63,7.99E-02,2.33E-04,Soluble,-5.69,7.04E-04,2.06E-06,Moderately soluble,High,Yes,Yes,Yes,No,No,No,Yes,-6.44,0,0,0,0,0,0.55,0,1,0,3.78
Tinospora cordifolia,(+)-Reticuline,COc1ccc(cc1O)C[C@@H]1N(C)CCc2c1cc(O)c(c2)OC,C19H23NO4,329.39,24,12,0.37,4,5,2,97.01,62.16,3.32,3.01,2.18,1.75,2.92,2.64,-3.88,4.30E-02,1.30E-04,Soluble,-3.98,3.45E-02,1.05E-04,Soluble,-4.72,6.25E-03,1.90E-05,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,No,-6.17,0,0,0,0,0,0.55,0,0,0,3.07
Tinospora cordifolia,(+)-N-Methylcoclaurine,COc1cc2CCN([C@H](c2cc1O)Cc1ccc(cc1)O)C,C18H21NO3,299.36,22,12,0.33,3,4,2,90.52,52.93,2.78,3.04,2.17,2.08,2.87,2.59,-3.82,4.56E-02,1.52E-04,Soluble,-3.82,4.56E-02,1.52E-04,Soluble,-4.61,7.35E-03,2.45E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-5.97,0,0,0,0,0,0.55,0,0,0,2.92
Tinospora cordifolia,N-trans-feruloyltyramine,COc1cc(/C=C/C(=O)NCCc2ccc(cc2)O)ccc1O,C18H19NO4,313.35,23,12,0.17,7,4,3,88.98,78.79,2.58,2.1,2.37,1.89,3.01,2.39,-3.03,2.93E-01,9.34E-04,Soluble,-3.38,1.29E-01,4.12E-04,Soluble,-4.78,5.26E-03,1.68E-05,Moderately soluble,High,No,No,No,No,No,Yes,Yes,-6.72,0,0,0,0,0,0.55,0,1,0,2.55
Tinospora cordifolia,Tembetarine,COc1ccc(cc1O)C[C@H]1c2cc(O)c(cc2CC[N]1(C)C)OC,C20H26NO4,344.42,25,12,0.4,4,4,2,102.87,62.16,-0.31,3.03,2.35,1.98,2.98,2,-3.98,3.64E-02,1.06E-04,Soluble,-4,3.44E-02,9.98E-05,Moderately soluble,-5.82,5.24E-04,1.52E-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-6.25,0,0,0,0,0,0.55,0,0,0,3.21
Tinospora cordifolia,(+)-Corytuberine,COc1ccc2c(c1O)c1c(O)c(OC)cc3c1[C@H](C2)N(C)CC3,C19H21NO4,327.37,24,12,0.37,2,5,2,96,62.16,3.01,2.24,2.16,1.75,2.95,2.42,-3.52,9.91E-02,3.03E-04,Soluble,-3.18,2.16E-01,6.59E-04,Soluble,-4.59,8.41E-03,2.57E-05,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.71,0,0,0,0,0,0.55,0,0,0,3.64
Tinospora cordifolia,Coclaurine,COc1cc2CCN[C@H](c2cc1O)Cc1ccc(cc1)O,C17H19NO3,285.34,21,12,0.29,3,4,3,85.62,61.72,2.6,2.58,1.83,1.84,2.94,2.36,-3.46,9.91E-02,3.47E-04,Soluble,-3.52,8.53E-02,2.99E-04,Soluble,-4.94,3.25E-03,1.14E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.21,0,0,0,0,0,0.55,0,0,0,2.78
Tinospora cordifolia,(S)-Norcoclaurine,Oc1ccc(cc1)C[C@@H]1NCCc2c1cc(O)c(c2)O,C16H17NO3,271.31,20,12,0.25,2,4,4,81.15,72.72,2,2.25,1.53,1.6,2.42,1.96,-3.25,1.52E-01,5.60E-04,Soluble,-3.41,1.05E-01,3.86E-04,Soluble,-4.25,1.54E-02,5.68E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-6.36,0,0,0,0,0,0.55,1,1,0,2.62
Tinospora cordifolia,N-trans-Feruloyl tyramine,COc1cc(/C=C/C(=O)NCCc2ccc(cc2)O)ccc1O,C18H19NO4,313.35,23,12,0.17,7,4,3,88.98,78.79,2.58,2.1,2.37,1.89,3.01,2.39,-3.03,2.93E-01,9.34E-04,Soluble,-3.38,1.29E-01,4.12E-04,Soluble,-4.78,5.26E-03,1.68E-05,Moderately soluble,High,No,No,No,No,No,Yes,Yes,-6.72,0,0,0,0,0,0.55,0,1,0,2.55
Tinospora cordifolia,Amritoside A,OC[C@H]1O[C@@H](O[C@H]2C[C@](O)(C(=O)O)[C@@]([C@H]3C2=C(CCC3)C(=O)OC)(C)C[C@@H](c2ccoc2)O)[C@@H]([C@H]([C@H]1O)O)O,C26H36O13,556.56,39,5,0.69,9,13,7,129.78,216.58,1.71,-1.25,-0.94,-1.96,-0.47,-0.58,-2,5.51E+00,9.91E-03,Soluble,-2.8,8.78E-01,1.58E-03,Soluble,-0.59,1.43E+02,2.57E-01,Soluble,Low,No,No,No,No,No,No,No,-10.58,3,3,1,1,3,0.11,0,0,2,6.6
Tinospora cordifolia,Amritoside B,OC[C@H]1O[C@@H](O[C@H]2C[C@](O)(C(=O)O)[C@@]([C@H]3[C@]2(C)[C@](O)(CCC3)C(=O)OC)(C)C[C@@H](c2ccoc2)O)[C@@H]([C@H]([C@H]1O)O)O,C27H40O14,588.6,41,5,0.78,9,14,8,136,236.81,1.96,-1.14,-1.5,-2.41,-0.81,-0.78,-2.27,3.18E+00,5.40E-03,Soluble,-3.34,2.68E-01,4.56E-04,Soluble,-0.37,2.52E+02,4.28E-01,Soluble,Low,No,No,No,No,No,No,No,-10.7,3,4,1,1,3,0.11,0,0,2,6.76
Tinospora cordifolia,Amritoside C,OC[C@H]1O[C@@H](O[C@H]2C[C@@]3(O)C(=O)O[C@@H](C[C@]3([C@H]3[C@]2(C)C(=C(O)CC3)C(=O)OC)C)c2cocc2)[C@@H]([C@H]([C@@H]1O)O)O,C27H36O13,568.57,40,5,0.7,6,13,6,132.14,205.58,2.59,0.21,-0.33,-1.76,-0.35,0.07,-3.19,3.64E-01,6.40E-04,Soluble,-4.09,4.66E-02,8.20E-05,Moderately soluble,-1.35,2.52E+01,4.44E-02,Soluble,Low,No,Yes,No,No,No,No,No,-9.62,3,3,1,1,3,0.11,0,1,1,6.7
Tinospora cordifolia,Amritoside D,OC[C@H]1O[C@@H](O[C@@H]2C=CC[C@@H]3[C@@]2(C)CC[C@]2([C@@]3(C)C[C@H](OC2=O)c2cocc2)O)[C@@H]([C@H]([C@@H]1O)O)O,C25H34O10,494.53,35,5,0.72,4,10,5,119.67,159.05,1.23,0.54,0.24,-0.62,0.12,0.3,-3.09,4.04E-01,8.17E-04,Soluble,-3.45,1.75E-01,3.54E-04,Soluble,-1.5,1.56E+01,3.15E-02,Soluble,Low,No,Yes,No,No,No,No,No,-8.93,0,1,1,1,1,0.55,0,1,1,6.37
Tinospora cordifolia,Tinocordifolin,CC1=CC(=O)[C@]2([C@@H](CC1)[C@@H]([C@@H]1[C@H]2O1)C(O)(C)C)C,C15H22O3,250.33,18,0,0.8,1,3,1,69.63,49.83,2.68,1.37,2.09,1.75,2.51,2.08,-2.19,1.62E+00,6.47E-03,Soluble,-2.02,2.39E+00,9.57E-03,Soluble,-2.12,1.88E+00,7.52E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.85,0,0,0,0,0,0.55,0,1,0,4.56
Tinospora cordifolia,Tinocordifolioside,OC[C@H]1O[C@@H](OC([C@@H]2[C@H]3O[C@H]3[C@@]3([C@H]2CCC(=CC3=O)C)C)(C)C)[C@@H]([C@H]([C@@H]1O)O)O,C21H32O8,412.47,29,0,0.86,4,8,4,102.01,128.98,2.74,-0.22,-0.09,-0.51,0.48,0.48,-1.99,4.18E+00,1.01E-02,Very soluble,-2.03,3.84E+00,9.30E-03,Soluble,-0.43,1.55E+02,3.75E-01,Soluble,High,No,Yes,No,No,No,No,No,-8.97,0,0,0,0,0,0.55,0,1,1,5.95
Tinospora cordifolia,Tinocordiside,OC[C@H]1O[C@@H](OC([C@H]2CC[C@@]3([C@H]4[C@@H]2[C@H]3C(=O)C=C4C)C)(C)C)[C@@H]([C@H]([C@@H]1O)O)O,C21H32O7,396.47,28,0,0.86,4,7,4,100.93,116.45,0,0.23,0.39,0.28,0.62,0.3,-2.18,2.63E+00,6.62E-03,Soluble,-2.24,2.31E+00,5.82E-03,Soluble,-0.7,7.91E+01,2.00E-01,Soluble,High,No,Yes,No,No,No,No,No,-8.56,0,0,0,0,0,0.55,0,0,1,5.95
Tinospora cordifolia,4-Hydroxyphenylacetaldehyde,O=CCc1ccc(cc1)O,C8H8O2,136.15,10,6,0.12,2,2,1,38.44,37.3,0.98,0.53,1.13,1.12,1.83,1.12,-1.33,6.37E+00,4.68E-02,Very soluble,-0.88,1.78E+01,1.30E-01,Very soluble,-2.14,9.77E-01,7.18E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.75,0,3,0,0,1,0.55,0,1,1,1
Tinospora cordifolia,4-Hydroxyphenylpyruvate,Oc1ccc(cc1)CC(=O)C(=O)O,C9H8O4,180.16,13,6,0.11,3,4,2,45.02,74.6,0.7,0.91,0.59,0.43,0.95,0.72,-1.67,3.82E+00,2.12E-02,Very soluble,-2.06,1.56E+00,8.67E-03,Soluble,-1.55,5.10E+00,2.83E-02,Soluble,High,No,No,No,No,No,No,No,-6.75,0,0,0,0,1,0.85,0,1,1,1.17
Tinospora cordifolia,3'-Hydroxy-7-O-methylcoclaurine,COc1cc2CCN([C@H](c2cc1O)Cc1ccc(c(c1)O)O)C,C18H21NO4,315.36,23,12,0.33,3,5,3,92.54,73.16,2.59,2.69,1.88,1.52,2.38,2.21,-3.68,6.62E-02,2.10E-04,Soluble,-3.88,4.17E-02,1.32E-04,Soluble,-4.03,2.96E-02,9.40E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.31,0,0,0,0,0,0.55,1,1,0,2.96
Terminalia bellirica,Gallic acid,OC(=O)c1cc(O)c(c(c1)O)O,C7H6O5,170.12,12,6,0,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,-0.2,0.21,-1.64,3.90E+00,2.29E-02,Very soluble,-2.34,7.86E-01,4.62E-03,Soluble,-0.04,1.55E+02,9.10E-01,Soluble,High,No,No,No,No,No,No,Yes,-6.84,0,2,0,0,1,0.56,1,1,1,1.22
Terminalia bellirica,Ellagic acid,Oc1cc2c(=O)oc3c4c2c(c1O)oc(=O)c4cc(c3O)O,C14H6O8,302.19,22,16,0,0,8,4,75.31,141.34,0.79,1.1,1.31,0.14,1.67,1,-2.94,3.43E-01,1.14E-03,Soluble,-3.66,6.60E-02,2.18E-04,Soluble,-3.35,1.36E-01,4.49E-04,Soluble,High,No,No,Yes,No,No,No,No,-7.36,0,0,1,1,0,0.55,1,3,0,3.17
Terminalia arjuna,"Norartocarpetin 5,7,2',4'-tetramethyl ether",COc1ccc(c(c1)OC)c1cc(=O)c2c(o1)cc(cc2OC)OC,C19H18O6,342.34,25,16,0.21,5,6,0,93.89,67.13,3.55,3.42,3.49,0.94,4.14,3.11,-4.26,1.88E-02,5.49E-05,Moderately soluble,-4.51,1.06E-02,3.09E-05,Moderately soluble,-6.61,8.50E-05,2.48E-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.96,0,0,0,0,0,0.55,0,0,0,3.53
Terminalia arjuna,Cerasidin,COc1ccc(c(c1)OC)/C=C/C(=O)c1c(O)cc(cc1OC)OC,C19H20O6,344.36,25,12,0.21,7,6,1,94.24,74.22,3.34,3.77,3.21,1.44,3.69,3.09,-4.24,1.97E-02,5.71E-05,Moderately soluble,-5.02,3.27E-03,9.51E-06,Moderately soluble,-4.85,4.83E-03,1.40E-05,Moderately soluble,High,Yes,No,No,Yes,Yes,No,Yes,-5.72,0,0,0,0,0,0.55,0,1,1,3.19
Terminalia arjuna,Arjunone,COc1ccc(c(c1)OC)[C@H]1CC(=O)c2c(O1)cc(cc2OC)OC,C19H20O6,344.36,25,12,0.32,5,6,0,91.47,63.22,3.35,2.92,3.1,1.13,3.67,2.84,-3.84,4.98E-02,1.45E-04,Soluble,-3.91,4.25E-02,1.23E-04,Soluble,-5.62,8.30E-04,2.41E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-6.33,0,0,0,0,0,0.55,0,0,0,3.51
Terminalia arjuna,Arjunolic acid,OC[C@]1(C)[C@@H](O)[C@H](O)C[C@]2([C@H]1CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@@]1([C@H]2CC(CC1)(C)C)C(=O)O)C)C,C30H48O5,488.7,35,0,0.9,2,5,4,138.98,97.99,3.11,5.84,5.18,4.14,4.35,4.52,-6.42,1.87E-04,3.83E-07,Poorly soluble,-7.67,1.05E-05,2.14E-08,Poorly soluble,-4.72,9.21E-03,1.88E-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-5.13,0,3,0,0,1,0.56,0,1,2,6.45
Cannabis sativa,Eugenol,C=CCc1ccc(c(c1)OC)O,C10H12O2,164.2,12,6,0.2,3,2,1,49.06,29.46,2.37,2.27,2.13,2.01,2.48,2.25,-2.46,5.69E-01,3.47E-03,Soluble,-2.53,4.90E-01,2.98E-03,Soluble,-2.79,2.65E-01,1.61E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.69,0,0,0,0,1,0.55,0,1,1,1.58
Cannabis sativa,Cannabisin B,Oc1ccc(cc1)CCNC(=O)C1=Cc2cc(O)c(cc2[C@@H]([C@H]1C(=O)NCCc1ccc(cc1)O)c1ccc(c(c1)O)O)O,C34H32N2O8,596.63,44,24,0.18,11,8,8,164.64,179.58,2.86,4.22,3.67,1.53,3.79,3.22,-5.88,7.95E-04,1.33E-06,Moderately soluble,-7.7,1.19E-05,1.99E-08,Poorly soluble,-8.22,3.60E-06,6.03E-09,Poorly soluble,Low,No,No,No,No,No,No,No,-6.94,2,3,2,1,2,0.17,1,1,3,5.26
Cannabis sativa,Cannabisin D,COc1cc2C=C(C(=O)NCCc3ccc(cc3)O)[C@@H]([C@H](c2cc1O)c1ccc(c(c1)OC)O)C(=O)NCCc1ccc(cc1)O,C36H36N2O8,624.68,46,24,0.22,13,8,6,173.57,157.58,3.82,4.88,4.28,1.9,4.91,3.96,-6.32,3.02E-04,4.84E-07,Poorly soluble,-7.92,7.44E-06,1.19E-08,Poorly soluble,-9.59,1.62E-07,2.59E-10,Poorly soluble,Low,No,No,No,Yes,No,No,No,-6.65,2,3,2,1,3,0.17,0,0,3,5.5
Cannabis sativa,(+-)-Grossamide,COc1cc(/C=C/C(=O)NCCc2ccc(cc2)O)cc2c1O[C@@H]([C@H]2C(=O)NCCc1ccc(cc1)O)c1ccc(c(c1)OC)O,C36H36N2O8,624.68,46,24,0.22,14,8,5,173.24,146.58,4.22,4.94,4.34,1.9,5.57,4.19,-6.29,3.22E-04,5.16E-07,Poorly soluble,-7.76,1.10E-05,1.76E-08,Poorly soluble,-9.68,1.29E-07,2.07E-10,Poorly soluble,Low,No,Yes,No,Yes,Yes,No,No,-6.6,1,3,2,1,1,0.55,0,1,3,5.38
Cannabis sativa,(+-)-Demethylgrossamide,COc1cc(/C=C/C(=O)NCCc2ccc(cc2)O)cc2c1O[C@H]([C@H]2C(=O)NCCc1ccc(cc1)O)c1ccc(c(c1)O)O,C35H34N2O8,610.65,45,24,0.2,13,8,6,168.77,157.58,3.19,4.61,4.03,1.72,5.01,3.71,-6.07,5.23E-04,8.57E-07,Poorly soluble,-7.64,1.39E-05,2.27E-08,Poorly soluble,-9,6.11E-07,1.00E-09,Poorly soluble,Low,No,No,No,No,Yes,No,No,-6.75,2,3,2,1,3,0.17,1,2,3,5.24
Cannabis sativa,Cannabisin A,Oc1ccc(cc1)CCNC(=O)c1cc2cc(O)c(cc2c(c1C(=O)NCCc1ccc(cc1)O)c1ccc(c(c1)O)O)O,C34H30N2O8,594.61,44,28,0.12,11,8,8,166.1,179.58,2.27,5.13,4.69,2.36,4.7,3.83,-6.5,1.87E-04,3.14E-07,Poorly soluble,-8.65,1.34E-06,2.26E-09,Poorly soluble,-9.5,1.88E-07,3.16E-10,Poorly soluble,Low,No,No,No,Yes,Yes,No,No,-6.28,2,3,2,1,3,0.17,1,1,3,3.77
Cannabis sativa,Cannabisin E,COc1cc(/C=C/C(=O)NCCc2ccc(cc2)O)ccc1O[C@H]([C@H](c1ccc(c(c1)OC)O)O)C(=O)NCCc1ccc(cc1)O,C36H38N2O9,642.69,47,24,0.22,17,9,6,176.35,166.81,3.98,4.61,3.6,1.53,5.23,3.79,-5.98,6.65E-04,1.04E-06,Moderately soluble,-7.84,9.33E-06,1.45E-08,Poorly soluble,-9.09,5.21E-07,8.11E-10,Poorly soluble,Low,No,No,No,Yes,Yes,No,No,-6.95,3,3,2,1,4,0.17,0,1,3,5.29
Cannabis sativa,Cannabisin F,COc1cc(/C=C/C(=O)NCCc2ccc(cc2)O)ccc1O/C(=C\c1ccc(c(c1)OC)O)/C(=O)NCCc1ccc(cc1)O,C36H36N2O8,624.68,46,24,0.17,16,8,5,175.51,146.58,4.51,5.86,4.75,2.22,5.83,4.63,-6.73,1.15E-04,1.84E-07,Poorly soluble,-8.71,1.22E-06,1.95E-09,Poorly soluble,-9.68,1.29E-07,2.07E-10,Poorly soluble,Low,No,No,No,Yes,Yes,No,No,-5.95,1,3,2,1,3,0.55,0,2,3,4.44
Cannabis sativa,Luteolin,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,C15H10O6,286.24,21,16,0,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,2.03,1.73,-3.71,5.63E-02,1.97E-04,Soluble,-4.51,8.84E-03,3.09E-05,Moderately soluble,-3.82,4.29E-02,1.50E-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.25,0,0,0,0,0,0.55,1,1,0,3.02
Cannabis sativa,Geranyl diphospate,C/C(=C\COP(=O)(OP(=O)(O)O)O)/CCC=C(C)C,C10H20O7P2,314.21,19,0,0.6,8,7,3,72.22,132.91,1.02,0.71,2.91,0.14,0.47,1.05,-1.71,6.16E+00,1.96E-02,Very soluble,-3.08,2.62E-01,8.34E-04,Soluble,-0.21,1.94E+02,6.17E-01,Soluble,High,No,No,No,No,No,No,No,-7.71,0,0,0,1,0,0.56,0,2,1,4.14
Cannabis sativa,Naringenin,Oc1ccc(cc1)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O,C15H12O5,272.25,20,12,0.13,1,5,3,71.57,86.99,1.75,2.52,2.19,0.71,2.05,1.84,-3.49,8.74E-02,3.21E-04,Soluble,-3.99,2.77E-02,1.02E-04,Soluble,-3.42,1.04E-01,3.82E-04,Soluble,High,No,Yes,Yes,No,No,No,Yes,-6.17,0,0,0,0,0,0.55,0,0,0,3.01
Cannabis sativa,Chrysoeriol,COc1cc(ccc1O)c1cc(=O)c2c(o1)cc(cc2O)O,C16H12O6,300.26,22,16,0.06,2,6,3,80.48,100.13,2.44,3.1,2.59,0.22,2.55,2.18,-4.06,2.61E-02,8.69E-05,Moderately soluble,-4.87,4.04E-03,1.35E-05,Moderately soluble,-4.52,9.07E-03,3.02E-05,Moderately soluble,High,No,No,Yes,No,Yes,Yes,Yes,-5.93,0,0,0,0,0,0.55,0,0,0,3.06
Cannabis sativa,Trigonelline,C[n+]1cccc(c1)C(=O)[O-],C7H7NO2,137.14,10,6,0.14,1,2,0,35.05,44.01,-3.11,0.51,-1.13,0.33,0.36,-0.61,-1.39,5.59E+00,4.08E-02,Very soluble,-1,1.36E+01,9.89E-02,Very soluble,-0.94,1.59E+01,1.16E-01,Soluble,High,No,No,No,No,No,No,No,-6.77,0,4,0,0,1,0.55,0,1,1,1.04
